,hr (k=10),hr (k=100),hr (k=500),mrr
Snore,0.1818,0.5606,0.8144,0.06541893784455866
node2vec,0.002,0.0144,0.0814,0.001993503629320449
PageRank,0.7856,0.9904,1.0,0.393710085739574
PinSageL3,0.0018,0.0232,0.0948,0.0022595620387067996
PinSageLatest,0.039,0.1588,0.3738,0.015238158905864208
PinSageStdHn3,0.0406,0.1498,0.3442,0.014720490310976317
PinSageBias,0.2284,0.5188,0.7722,0.07729271054134243
PinSageBiasLong,0.2712,0.651,0.9064,0.0893407112171607
OpenL3,0.0534,0.1786,0.4132,0.01972288995175904
Random,0.0016,0.0164,0.0858,0.002083868889984024
