,hr (k=10),hr (k=100),hr (k=500),mrr,low-degree accuracy,low-co accuracy
Random,0.000113913380265646,0.0010935684505502016,0.0051488847880072,0.0010625158958461037,0.0010448031717355687,0.0010257954773678379
ColTrackCfALS,0.02560772788371722,0.08331624632629349,0.17606452053858246,0.014310806500456373,0.021609823049162695,0.012165958292743091
TrackTrackCfALS,0.02455972478527328,0.1036156106896316,0.23794226869888138,0.011879202772887166,0.016528376517430523,0.006334631246843052
PageRank,0.06426992914587748,0.12339097350374775,0.15309958307702823,0.032361400714299424,0.0372502711793225,0.030386070937798708
node2vec,0.02449137675711389,0.0846604242134281,0.16818171462419976,0.012174463069076822,0.012906874330392549,0.012341534081096688
OpenL3,0.017929966053812682,0.036839587177909916,0.07340578224318228,0.013736511113981631,0.01274703302529442,0.010153598020871384
VGGish,0.01628961337798738,0.0404164673182512,0.08579955801608458,0.01249628693097054,0.013111817012700248,0.006280299399070668
MusicNN,0.012963342674230514,0.027817647460870752,0.062492880413733395,0.01074308006544462,0.010189369920365088,0.0076323069389184406
PinSageOpenL3LFMBestBest,0.04107716492379195,0.12049757364500034,0.2842138837627868,0.022601344592382156,0.027984230734995136,0.016401516547462476
PinSagePageRank,0.05240015492219716,0.0916774884377919,0.15216549335884993,0.027955750098366976,0.03227430529603807,0.02577219687794306
PinSageBetter,0.002711138450322375,0.019912058870434922,0.07254004055316338,0.0024336085060996547,0.002829231636399323,0.0031464619906234107
PinSageFewEpochs,0.031462875629371424,0.07853188435513636,0.17572278039778552,0.018299696281522396,0.01781739544433707,0.013701150201058037
