,intra diversity,inter diversity,coverage,average degree
Random,0.9867716273292899,0.998983,1.0,5.826770397217189
ColTrackCfALS,0.7227172255516052,0.998624,0.9988647961840488,6.448129933970714
TrackTrackCfALS,0.9448628574609756,0.18331,0.09735674561019808,9.484313670353476
PageRank,0.8032507002353668,0.964409,0.9997083880105814,17.292058884792436
node2vec,0.7034434080123901,0.9984869999999999,0.9987398196171551,4.266251952758858
OpenL3,0.42302262783050537,0.99764,0.9948655460434502,6.2085414193172115
VGGish,0.5113384425640106,0.9984040000000001,0.9992813847403612,6.060164135891187
MusicNN,0.5462885200977325,0.9978549999999999,0.9972505155283384,6.217702618259076
PinSageOpenL3LFMBestBest,0.6311847567558289,0.998769,0.9998958528609219,6.511862671582412
PinSagePageRank,0.6385404169559479,0.998438,0.9996563144410423,7.007752921327251
PinSageBetter,0.7078306078910828,0.9952210000000001,0.9821804245037389,6.534433335416276
PinSageFewEpochs,0.5866256952285767,0.9979819999999999,0.9986460871919849,6.616286425461893
