,hr (k=10),hr (k=100),hr (k=500),mrr
Snore,0.1812,0.5662,0.807,0.0641720973810068
PageRank,0.7938,0.9906,0.9988,0.3959270054433978
Preferential,0.0156,0.1152,0.304,0.008175875981801653
JaccardIndex,0.0156,0.1152,0.304,0.008175875981801653
PinSageMicroOpenl3,0.2122,0.5154,0.7642,0.07114698141982757
PinSageMicroVggish,0.3066,0.6976,0.9116,0.09823908361334228
OpenL3,0.06,0.1938,0.4374,0.022343764249251434
Vggish,0.0496,0.187,0.4128,0.0191645321228355
MusicNN,0.0466,0.1792,0.4148,0.018257773599074722
Random,0.0018,0.0152,0.0878,0.002043771694432885
